FarmApp,public,PK___EFMigrationsHistory,FarmApp,public,__EFMigrationsHistory,MigrationId,1,
FarmApp,api,PK_ApiMethods,FarmApp,api,ApiMethods,Id,1,
FarmApp,dist,PK_CodeAthTypes,FarmApp,dist,CodeAthTypes,Id,1,
FarmApp,dist,FK_CodeAthTypes_CodeAthTypes_CodeAthId,FarmApp,dist,CodeAthTypes,CodeAthId,1,1
FarmApp,dist,PK_RegionTypes,FarmApp,dist,RegionTypes,Id,1,
FarmApp,dist,PK_Roles,FarmApp,dist,Roles,Id,1,
FarmApp,dist,PK_Vendors,FarmApp,dist,Vendors,Id,1,
FarmApp,log,PK_Logs,FarmApp,log,Logs,Id,1,
FarmApp,dist,PK_Regions,FarmApp,dist,Regions,Id,1,
FarmApp,dist,FK_Regions_Regions_RegionId,FarmApp,dist,Regions,RegionId,1,1
FarmApp,dist,FK_Regions_RegionTypes_RegionTypeId,FarmApp,dist,Regions,RegionTypeId,1,1
FarmApp,api,PK_ApiMethodRoles,FarmApp,api,ApiMethodRoles,Id,1,
FarmApp,api,FK_ApiMethodRoles_ApiMethods_ApiMethodId,FarmApp,api,ApiMethodRoles,ApiMethodId,1,1
FarmApp,api,FK_ApiMethodRoles_Roles_RoleId,FarmApp,api,ApiMethodRoles,RoleId,1,1
FarmApp,dist,PK_Users,FarmApp,dist,Users,Id,1,
FarmApp,dist,FK_Users_Roles_RoleId,FarmApp,dist,Users,RoleId,1,1
FarmApp,dist,PK_Pharmacies,FarmApp,dist,Pharmacies,Id,1,
FarmApp,dist,FK_Pharmacies_Pharmacies_PharmacyId,FarmApp,dist,Pharmacies,PharmacyId,1,1
FarmApp,dist,FK_Pharmacies_Regions_RegionId,FarmApp,dist,Pharmacies,RegionId,1,1
FarmApp,tab,PK_Stocks,FarmApp,tab,Stocks,Id,1,
FarmApp,tab,FK_Stocks_Pharmacies_PharmacyId,FarmApp,tab,Stocks,PharmacyId,1,1
FarmApp,tab,PK_Drugs,FarmApp,tab,Drugs,Id,1,
FarmApp,tab,FK_Drugs_CodeAthTypes_CodeAthTypeId,FarmApp,tab,Drugs,CodeAthTypeId,1,1
FarmApp,tab,FK_Drugs_Vendors_VendorId,FarmApp,tab,Drugs,VendorId,1,1
FarmApp,tab,FK_Drugs_Stocks_StockId,FarmApp,tab,Drugs,StockId,1,1
FarmApp,tab,PK_Sales,FarmApp,tab,Sales,Id,1,
FarmApp,tab,FK_Sales_Drugs_DrugId,FarmApp,tab,Sales,DrugId,1,1
FarmApp,tab,FK_Sales_Pharmacies_PharmacyId,FarmApp,tab,Sales,PharmacyId,1,1
