adminpack,2.0,,administrative functions for PostgreSQL
amcheck,1.2,,functions for verifying relation integrity
autoinc,1.0,,functions for autoincrementing fields
bloom,1.0,,bloom access method - signature file based index
btree_gin,1.3,,support for indexing common datatypes in GIN
btree_gist,1.5,,support for indexing common datatypes in GiST
citext,1.6,,data type for case-insensitive character strings
cube,1.4,,data type for multidimensional cubes
dblink,1.2,,connect to other PostgreSQL databases from within a database
dict_int,1.0,,text search dictionary template for integers
dict_xsyn,1.0,,text search dictionary template for extended synonym processing
earthdistance,1.1,,calculate great-circle distances on the surface of the Earth
file_fdw,1.0,,foreign-data wrapper for flat file access
fuzzystrmatch,1.1,,determine similarities and distance between strings
hstore,1.6,,"data type for storing sets of (key, value) pairs"
hstore_plperl,1.0,,transform between hstore and plperl
hstore_plperlu,1.0,,transform between hstore and plperlu
hstore_plpython2u,1.0,,transform between hstore and plpython2u
hstore_plpython3u,1.0,,transform between hstore and plpython3u
hstore_plpythonu,1.0,,transform between hstore and plpythonu
insert_username,1.0,,functions for tracking who changed a table
intagg,1.1,,integer aggregator and enumerator (obsolete)
intarray,1.2,,"functions, operators, and index support for 1-D arrays of integers"
isn,1.2,,data types for international product numbering standards
jsonb_plperl,1.0,,transform between jsonb and plperl
jsonb_plperlu,1.0,,transform between jsonb and plperlu
jsonb_plpython2u,1.0,,transform between jsonb and plpython2u
jsonb_plpython3u,1.0,,transform between jsonb and plpython3u
jsonb_plpythonu,1.0,,transform between jsonb and plpythonu
lo,1.1,,Large Object maintenance
ltree,1.1,,data type for hierarchical tree-like structures
ltree_plpython2u,1.0,,transform between ltree and plpython2u
ltree_plpython3u,1.0,,transform between ltree and plpython3u
ltree_plpythonu,1.0,,transform between ltree and plpythonu
moddatetime,1.0,,functions for tracking last modification time
pageinspect,1.7,,inspect the contents of database pages at a low level
pgagent,4.0,,A PostgreSQL job scheduler
pgcrypto,1.3,,cryptographic functions
pgrowlocks,1.2,,show row-level locking information
pgstattuple,1.5,,show tuple-level statistics
pg_buffercache,1.3,,examine the shared buffer cache
pg_freespacemap,1.2,,examine the free space map (FSM)
pg_prewarm,1.2,,prewarm relation data
pg_stat_statements,1.7,,track execution statistics of all SQL statements executed
pg_trgm,1.4,,text similarity measurement and index searching based on trigrams
pg_visibility,1.2,,examine the visibility map (VM) and page-level visibility info
pldbgapi,1.1,,server-side support for debugging PL/pgSQL functions
plperl,1.0,,PL/Perl procedural language
plperlu,1.0,,PL/PerlU untrusted procedural language
plpgsql,1.0,1.0,PL/pgSQL procedural language
plpython2u,1.0,,PL/Python2U untrusted procedural language
plpython3u,1.0,,PL/Python3U untrusted procedural language
plpythonu,1.0,,PL/PythonU untrusted procedural language
pltcl,1.0,,PL/Tcl procedural language
pltclu,1.0,,PL/TclU untrusted procedural language
postgres_fdw,1.0,,foreign-data wrapper for remote PostgreSQL servers
refint,1.0,,functions for implementing referential integrity (obsolete)
seg,1.3,,data type for representing line segments or floating-point intervals
sslinfo,1.2,,information about SSL certificates
tablefunc,1.0,,"functions that manipulate whole tables, including crosstab"
tcn,1.0,,Triggered change notifications
test_bloomfilter,1.0,,Test code for Bloom filter library
test_ext1,1.0,,Test extension 1
test_ext2,1.0,,Test extension 2
test_ext3,1.0,,Test extension 3
test_ext4,1.0,,Test extension 4
test_ext5,1.0,,Test extension 5
test_ext6,1.0,,test_ext6
test_ext7,1.0,,Test extension 7
test_ext8,1.0,,Test extension 8
test_ext_cyclic1,1.0,,Test extension cyclic 1
test_ext_cyclic2,1.0,,Test extension cyclic 2
test_integerset,1.0,,Test code for integerset
test_pg_dump,1.0,,Test pg_dump with an extension
test_predtest,1.0,,Test code for optimizer/util/predtest.c
test_rbtree,1.0,,Test code for red-black tree library
tsm_system_rows,1.0,,TABLESAMPLE method which accepts number of rows as a limit
tsm_system_time,1.0,,TABLESAMPLE method which accepts time in milliseconds as a limit
unaccent,1.1,,text search dictionary that removes accents
uuid-ossp,1.1,,generate universally unique identifiers (UUIDs)
xml2,1.1,,XPath querying and XSLT
