11277,20,21,714,a,f
11278,20,23,480,a,f
11279,20,700,652,i,f
11280,20,701,482,i,f
11281,20,1700,1781,i,f
11282,21,20,754,i,f
11283,21,23,313,i,f
11284,21,700,236,i,f
11285,21,701,235,i,f
11286,21,1700,1782,i,f
11287,23,20,481,i,f
11288,23,21,314,a,f
11289,23,700,318,i,f
11290,23,701,316,i,f
11291,23,1700,1740,i,f
11292,700,20,653,a,f
11293,700,21,238,a,f
11294,700,23,319,a,f
11295,700,701,311,i,f
11296,700,1700,1742,a,f
11297,701,20,483,a,f
11298,701,21,237,a,f
11299,701,23,317,a,f
11300,701,700,312,a,f
11301,701,1700,1743,a,f
11302,1700,20,1779,a,f
11303,1700,21,1783,a,f
11304,1700,23,1744,a,f
11305,1700,700,1745,i,f
11306,1700,701,1746,i,f
11307,790,1700,3823,a,f
11308,1700,790,3824,a,f
11309,23,790,3811,a,f
11310,20,790,3812,a,f
11311,23,16,2557,e,f
11312,16,23,2558,e,f
11313,20,26,1287,i,f
11314,21,26,313,i,f
11315,23,26,0,i,b
11316,26,20,1288,a,f
11317,26,23,0,a,b
11318,26,24,0,i,b
11319,24,26,0,i,b
11320,20,24,1287,i,f
11321,21,24,313,i,f
11322,23,24,0,i,b
11323,24,20,1288,a,f
11324,24,23,0,a,b
11325,24,2202,0,i,b
11326,2202,24,0,i,b
11327,26,2202,0,i,b
11328,2202,26,0,i,b
11329,20,2202,1287,i,f
11330,21,2202,313,i,f
11331,23,2202,0,i,b
11332,2202,20,1288,a,f
11333,2202,23,0,a,b
11334,26,2203,0,i,b
11335,2203,26,0,i,b
11336,20,2203,1287,i,f
11337,21,2203,313,i,f
11338,23,2203,0,i,b
11339,2203,20,1288,a,f
11340,2203,23,0,a,b
11341,2203,2204,0,i,b
11342,2204,2203,0,i,b
11343,26,2204,0,i,b
11344,2204,26,0,i,b
11345,20,2204,1287,i,f
11346,21,2204,313,i,f
11347,23,2204,0,i,b
11348,2204,20,1288,a,f
11349,2204,23,0,a,b
11350,26,2205,0,i,b
11351,2205,26,0,i,b
11352,20,2205,1287,i,f
11353,21,2205,313,i,f
11354,23,2205,0,i,b
11355,2205,20,1288,a,f
11356,2205,23,0,a,b
11357,26,2206,0,i,b
11358,2206,26,0,i,b
11359,20,2206,1287,i,f
11360,21,2206,313,i,f
11361,23,2206,0,i,b
11362,2206,20,1288,a,f
11363,2206,23,0,a,b
11364,26,3734,0,i,b
11365,3734,26,0,i,b
11366,20,3734,1287,i,f
11367,21,3734,313,i,f
11368,23,3734,0,i,b
11369,3734,20,1288,a,f
11370,3734,23,0,a,b
11371,26,3769,0,i,b
11372,3769,26,0,i,b
11373,20,3769,1287,i,f
11374,21,3769,313,i,f
11375,23,3769,0,i,b
11376,3769,20,1288,a,f
11377,3769,23,0,a,b
11378,25,2205,1079,i,f
11379,1043,2205,1079,i,f
11380,26,4096,0,i,b
11381,4096,26,0,i,b
11382,20,4096,1287,i,f
11383,21,4096,313,i,f
11384,23,4096,0,i,b
11385,4096,20,1288,a,f
11386,4096,23,0,a,b
11387,26,4089,0,i,b
11388,4089,26,0,i,b
11389,20,4089,1287,i,f
11390,21,4089,313,i,f
11391,23,4089,0,i,b
11392,4089,20,1288,a,f
11393,4089,23,0,a,b
11394,25,1042,0,i,b
11395,25,1043,0,i,b
11396,1042,25,401,i,f
11397,1042,1043,401,i,f
11398,1043,25,0,i,b
11399,1043,1042,0,i,b
11400,18,25,946,i,f
11401,18,1042,860,a,f
11402,18,1043,946,a,f
11403,19,25,406,i,f
11404,19,1042,408,a,f
11405,19,1043,1401,a,f
11406,25,18,944,a,f
11407,1042,18,944,a,f
11408,1043,18,944,a,f
11409,25,19,407,i,f
11410,1042,19,409,i,f
11411,1043,19,1400,i,f
11412,18,23,77,e,f
11413,23,18,78,e,f
11414,194,25,0,i,b
11415,3361,17,0,i,b
11416,3361,25,0,i,i
11417,3402,17,0,i,b
11418,3402,25,0,i,i
11419,5017,17,0,i,b
11420,5017,25,0,i,i
11421,1082,1114,2024,i,f
11422,1082,1184,1174,i,f
11423,1083,1186,1370,i,f
11424,1083,1266,2047,i,f
11425,1114,1082,2029,a,f
11426,1114,1083,1316,a,f
11427,1114,1184,2028,i,f
11428,1184,1082,1178,a,f
11429,1184,1083,2019,a,f
11430,1184,1114,2027,a,f
11431,1184,1266,1388,a,f
11432,1186,1083,1419,a,f
11433,1266,1083,2046,a,f
11434,600,603,4091,a,f
11435,601,600,1532,e,f
11436,602,600,1533,e,f
11437,602,604,1449,a,f
11438,603,600,1534,e,f
11439,603,601,1541,e,f
11440,603,604,1448,a,f
11441,603,718,1479,e,f
11442,604,600,1540,e,f
11443,604,602,1447,a,f
11444,604,603,1446,e,f
11445,604,718,1474,e,f
11446,718,600,1416,e,f
11447,718,603,1480,e,f
11448,718,604,1544,e,f
11449,829,774,4123,i,f
11450,774,829,4124,i,f
11451,650,869,0,i,b
11452,869,650,1715,a,f
11453,1560,1562,0,i,b
11454,1562,1560,0,i,b
11455,20,1560,2075,e,f
11456,23,1560,1683,e,f
11457,1560,20,2076,e,f
11458,1560,23,1684,e,f
11459,650,25,730,a,f
11460,869,25,730,a,f
11461,16,25,2971,a,f
11462,142,25,0,a,b
11463,25,142,2896,e,f
11464,650,1043,730,a,f
11465,869,1043,730,a,f
11466,16,1043,2971,a,f
11467,142,1043,0,a,b
11468,1043,142,2896,e,f
11469,650,1042,730,a,f
11470,869,1042,730,a,f
11471,16,1042,2971,a,f
11472,142,1042,0,a,b
11473,1042,142,2896,e,f
11474,1042,1042,668,i,f
11475,1043,1043,669,i,f
11476,1083,1083,1968,i,f
11477,1114,1114,1961,i,f
11478,1184,1184,1967,i,f
11479,1186,1186,1200,i,f
11480,1266,1266,1969,i,f
11481,1560,1560,1685,i,f
11482,1562,1562,1687,i,f
11483,1700,1700,1703,i,f
11484,114,3802,0,a,i
11485,3802,114,0,a,i
11486,3802,16,3556,e,f
11487,3802,1700,3449,e,f
11488,3802,21,3450,e,f
11489,3802,23,3451,e,f
11490,3802,20,3452,e,f
11491,3802,700,3453,e,f
11492,3802,701,2580,e,f
